CUSTOMER_NAME,SIGNUP_DATE,SEGMENT,EMAIL_DOMAIN
First_0 Last_0,2023-10-28,Consumer,example.com
First_1 Last_1,2023-10-03,SMB,example.com
First_2 Last_2,2023-10-10,Enterprise,example.com
First_3 Last_3,2023-10-21,Consumer,example.com
First_4 Last_4,2023-08-25,SMB,example.com
First_5 Last_5,2023-12-13,Enterprise,example.com
First_6 Last_6,2023-09-23,Consumer,example.com
First_7 Last_7,2023-07-09,SMB,example.com
First_8 Last_8,2023-08-06,Enterprise,example.com
First_9 Last_9,2023-10-04,Consumer,example.com
First_10 Last_10,2023-11-21,SMB,example.com
First_11 Last_11,2023-10-23,Enterprise,example.com
First_12 Last_12,2023-12-13,Consumer,example.com
First_13 Last_13,2023-08-12,SMB,example.com
First_14 Last_14,2023-11-22,Enterprise,example.com
First_15 Last_15,2023-09-05,Consumer,example.com
First_16 Last_16,2023-08-27,SMB,example.com
First_17 Last_17,2023-10-26,Enterprise,example.com
First_18 Last_18,2023-07-21,Consumer,example.com
First_19 Last_19,2023-11-07,SMB,example.com
First_20 Last_20,2023-08-18,Enterprise,example.com
First_21 Last_21,2023-07-18,Consumer,example.com
First_22 Last_22,2023-08-02,SMB,example.com
First_23 Last_23,2023-07-22,Enterprise,example.com
First_24 Last_24,2023-12-26,Consumer,example.com
First_25 Last_25,2023-12-04,SMB,example.com
First_26 Last_26,2023-09-15,Enterprise,example.com
First_27 Last_27,2023-11-18,Consumer,example.com
First_28 Last_28,2023-07-19,SMB,example.com
First_29 Last_29,2023-11-07,Enterprise,example.com
First_30 Last_30,2023-11-11,Consumer,example.com
First_31 Last_31,2023-08-26,SMB,example.com
First_32 Last_32,2023-11-30,Enterprise,example.com
First_33 Last_33,2023-08-05,Consumer,example.com
First_34 Last_34,2023-12-31,SMB,example.com
First_35 Last_35,2023-09-21,Enterprise,example.com
First_36 Last_36,2023-10-04,Consumer,example.com
First_37 Last_37,2023-10-19,SMB,example.com
First_38 Last_38,2023-11-30,Enterprise,example.com
First_39 Last_39,2023-07-27,Consumer,example.com
First_40 Last_40,2023-09-11,SMB,example.com
First_41 Last_41,2023-10-25,Enterprise,example.com
First_42 Last_42,2023-11-07,Consumer,example.com
First_43 Last_43,2023-07-30,SMB,example.com
First_44 Last_44,2023-12-20,Enterprise,example.com
First_45 Last_45,2023-12-29,Consumer,example.com
First_46 Last_46,2023-08-14,SMB,example.com
First_47 Last_47,2023-09-02,Enterprise,example.com
First_48 Last_48,2023-12-19,Consumer,example.com
First_49 Last_49,2023-12-06,SMB,example.com
First_50 Last_50,2023-08-26,Enterprise,example.com
First_51 Last_51,2023-11-13,Consumer,example.com
First_52 Last_52,2023-10-13,SMB,example.com
First_53 Last_53,2023-12-01,Enterprise,example.com
First_54 Last_54,2023-11-02,Consumer,example.com
First_55 Last_55,2023-08-21,SMB,example.com
First_56 Last_56,2023-07-17,Enterprise,example.com
First_57 Last_57,2023-10-17,Consumer,example.com
First_58 Last_58,2023-10-29,SMB,example.com
First_59 Last_59,2023-07-06,Enterprise,example.com
First_60 Last_60,2023-12-13,Consumer,example.com
First_61 Last_61,2023-11-27,SMB,example.com
First_62 Last_62,2023-11-30,Enterprise,example.com
First_63 Last_63,2023-07-23,Consumer,example.com
First_64 Last_64,2023-09-06,SMB,example.com
First_65 Last_65,2023-12-05,Enterprise,example.com
First_66 Last_66,2023-09-15,Consumer,example.com
First_67 Last_67,2023-07-06,SMB,example.com
First_68 Last_68,2023-07-21,Enterprise,example.com
First_69 Last_69,2023-08-29,Consumer,example.com
First_70 Last_70,2023-09-13,SMB,example.com
First_71 Last_71,2023-11-06,Enterprise,example.com
First_72 Last_72,2023-11-10,Consumer,example.com
First_73 Last_73,2023-07-14,SMB,example.com
First_74 Last_74,2023-12-20,Enterprise,example.com
First_75 Last_75,2023-11-10,Consumer,example.com
First_76 Last_76,2023-08-30,SMB,example.com
First_77 Last_77,2023-12-26,Enterprise,example.com
First_78 Last_78,2023-08-08,Consumer,example.com
First_79 Last_79,2023-09-26,SMB,example.com
First_80 Last_80,2023-09-29,Enterprise,example.com
First_81 Last_81,2023-10-19,Consumer,example.com
First_82 Last_82,2023-09-18,SMB,example.com
First_83 Last_83,2023-08-14,Enterprise,example.com
First_84 Last_84,2023-12-05,Consumer,example.com
First_85 Last_85,2023-12-16,SMB,example.com
First_86 Last_86,2023-07-12,Enterprise,example.com
First_87 Last_87,2023-09-08,Consumer,example.com
First_88 Last_88,2023-12-05,SMB,example.com
First_89 Last_89,2023-08-07,Enterprise,example.com
First_90 Last_90,2023-12-13,Consumer,example.com
First_91 Last_91,2023-07-20,SMB,example.com
First_92 Last_92,2023-09-18,Enterprise,example.com
First_93 Last_93,2023-10-14,Consumer,example.com
First_94 Last_94,2023-08-04,SMB,example.com
First_95 Last_95,2023-09-29,Enterprise,example.com
First_96 Last_96,2023-08-26,Consumer,example.com
First_97 Last_97,2023-09-04,SMB,example.com
First_98 Last_98,2023-08-19,Enterprise,example.com
First_99 Last_99,2023-10-06,Consumer,example.com
