CUSTOMER_NAME,PRODUCT_NAME,STORE_NAME,REVENUE
First_0 Last_0,LED Strip Light 0,Online CA 0,128.0000
First_1 Last_1,Picture Frame Set 1,Store 1,87.0000
First_2 Last_2,Toaster Oven 2,Store 2,194.0000
First_3 Last_3,Blender 3,Store 3,652.0000
First_4 Last_4,Smart Lamp 4,Store 4,400.0000
First_5 Last_5,LED Strip Light 5,Online CA 5,255.0000
First_6 Last_6,Picture Frame Set 6,Store 6,501.0000
First_7 Last_7,Toaster Oven 7,Store 7,54.0000
First_8 Last_8,Blender 8,Store 8,228.0000
First_9 Last_9,Smart Lamp 9,Store 9,665.0000
First_10 Last_10,LED Strip Light 10,Online CA 10,258.0000
First_11 Last_11,Picture Frame Set 11,Store 11,103.0000
First_12 Last_12,Toaster Oven 12,Store 12,260.0000
First_13 Last_13,Blender 13,Store 13,504.0000
First_14 Last_14,Smart Lamp 14,Store 14,268.0000
First_15 Last_15,LED Strip Light 15,Online CA 15,435.0000
First_16 Last_16,Picture Frame Set 16,Store 16,441.0000
First_17 Last_17,Toaster Oven 17,Store 17,107.0000
First_18 Last_18,Blender 18,Store 18,37.0000
First_19 Last_19,Smart Lamp 19,Store 19,208.0000
First_20 Last_20,LED Strip Light 20,Online CA 20,204.0000
First_21 Last_21,Picture Frame Set 21,Store 21,652.0000
First_22 Last_22,Toaster Oven 22,Store 22,135.0000
First_23 Last_23,Blender 23,Store 23,960.0000
First_24 Last_24,Smart Lamp 24,Store 24,650.0000
First_25 Last_25,LED Strip Light 25,Online CA 25,860.0000
First_26 Last_26,Picture Frame Set 26,Store 26,564.0000
First_27 Last_27,Toaster Oven 27,Store 27,231.0000
First_28 Last_28,Blender 28,Store 28,896.0000
First_29 Last_29,Smart Lamp 29,Store 29,92.0000
First_30 Last_30,LED Strip Light 30,Online CA 30,86.0000
First_31 Last_31,Picture Frame Set 31,Store 31,324.0000
First_32 Last_32,Toaster Oven 32,Store 32,440.0000
First_33 Last_33,Blender 33,Store 33,435.0000
First_34 Last_34,Smart Lamp 34,Store 34,350.0000
First_35 Last_35,LED Strip Light 35,Online CA 35,672.0000
First_36 Last_36,Picture Frame Set 36,Store 36,466.0000
First_37 Last_37,Toaster Oven 37,Store 37,655.0000
First_38 Last_38,Blender 38,Store 38,276.0000
First_39 Last_39,Smart Lamp 39,Store 39,396.0000
First_40 Last_40,LED Strip Light 40,Online CA 40,172.0000
First_41 Last_41,Picture Frame Set 41,Store 41,476.0000
First_42 Last_42,Toaster Oven 42,Store 42,316.0000
First_43 Last_43,Blender 43,Store 43,225.0000
First_44 Last_44,Smart Lamp 44,Store 44,240.0000
First_45 Last_45,LED Strip Light 45,Online CA 45,726.0000
First_46 Last_46,Picture Frame Set 46,Store 46,154.0000
First_47 Last_47,Toaster Oven 47,Store 47,79.0000
First_48 Last_48,Blender 48,Store 48,264.0000
First_49 Last_49,Smart Lamp 49,Store 49,200.0000
First_50 Last_50,LED Strip Light 50,Online CA 50,356.0000
First_51 Last_51,Picture Frame Set 51,Store 51,1090.0000
First_52 Last_52,Toaster Oven 52,Store 52,50.0000
First_53 Last_53,Blender 53,Store 53,550.0000
First_54 Last_54,Smart Lamp 54,Store 54,304.0000
First_55 Last_55,LED Strip Light 55,Online CA 55,72.0000
First_56 Last_56,Picture Frame Set 56,Store 56,513.0000
First_57 Last_57,Toaster Oven 57,Store 57,156.0000
First_58 Last_58,Blender 58,Store 58,224.0000
First_59 Last_59,Smart Lamp 59,Store 59,135.0000
First_60 Last_60,LED Strip Light 60,Online CA 60,258.0000
First_61 Last_61,Picture Frame Set 61,Store 61,326.0000
First_62 Last_62,Toaster Oven 62,Store 62,545.0000
First_63 Last_63,Blender 63,Store 63,244.0000
First_64 Last_64,Smart Lamp 64,Store 64,324.0000
First_65 Last_65,LED Strip Light 65,Online CA 65,206.0000
First_66 Last_66,Picture Frame Set 66,Store 66,76.0000
First_67 Last_67,Toaster Oven 67,Store 67,260.0000
First_68 Last_68,Blender 68,Store 68,300.0000
First_69 Last_69,Smart Lamp 69,Store 69,495.0000
First_70 Last_70,LED Strip Light 70,Online CA 70,612.0000
First_71 Last_71,Picture Frame Set 71,Store 71,196.0000
First_72 Last_72,Toaster Oven 72,Store 72,156.0000
First_73 Last_73,Blender 73,Store 73,876.0000
First_74 Last_74,Smart Lamp 74,Store 74,228.0000
First_75 Last_75,LED Strip Light 75,Online CA 75,392.0000
First_76 Last_76,Picture Frame Set 76,Store 76,872.0000
First_77 Last_77,Toaster Oven 77,Store 77,460.0000
First_78 Last_78,Blender 78,Store 78,198.0000
First_79 Last_79,Smart Lamp 79,Store 79,195.0000
First_80 Last_80,LED Strip Light 80,Online CA 80,95.0000
First_81 Last_81,Picture Frame Set 81,Store 81,66.0000
First_82 Last_82,Toaster Oven 82,Store 82,108.0000
First_83 Last_83,Blender 83,Store 83,240.0000
First_84 Last_84,Smart Lamp 84,Store 84,360.0000
First_85 Last_85,LED Strip Light 85,Online CA 85,243.0000
First_86 Last_86,Picture Frame Set 86,Store 86,88.0000
First_87 Last_87,Toaster Oven 87,Store 87,1090.0000
First_88 Last_88,Blender 88,Store 88,132.0000
First_89 Last_89,Smart Lamp 89,Store 89,87.0000
First_90 Last_90,LED Strip Light 90,Online CA 90,400.0000
First_91 Last_91,Picture Frame Set 91,Store 91,27.0000
First_92 Last_92,Toaster Oven 92,Store 92,920.0000
First_93 Last_93,Blender 93,Store 93,168.0000
First_94 Last_94,Smart Lamp 94,Store 94,61.0000
First_95 Last_95,LED Strip Light 95,Online CA 95,390.0000
First_96 Last_96,Picture Frame Set 96,Store 96,315.0000
First_97 Last_97,Toaster Oven 97,Store 97,185.0000
First_98 Last_98,Blender 98,Store 98,399.0000
First_99 Last_99,Smart Lamp 99,Store 99,163.0000
