CUSTOMER_NAME,TOTAL_REVENUE
First_3 Last_3,652.0000
First_84 Last_84,360.0000
First_50 Last_50,356.0000
First_73 Last_73,876.0000
First_87 Last_87,1090.0000
First_62 Last_62,545.0000
First_6 Last_6,501.0000
First_33 Last_33,435.0000
First_53 Last_53,550.0000
First_75 Last_75,392.0000
First_4 Last_4,400.0000
First_51 Last_51,1090.0000
First_98 Last_98,399.0000
First_9 Last_9,665.0000
First_13 Last_13,504.0000
First_24 Last_24,650.0000
First_90 Last_90,400.0000
First_32 Last_32,440.0000
First_95 Last_95,390.0000
First_21 Last_21,652.0000
First_77 Last_77,460.0000
First_92 Last_92,920.0000
First_41 Last_41,476.0000
First_28 Last_28,896.0000
First_35 Last_35,672.0000
First_37 Last_37,655.0000
First_36 Last_36,466.0000
First_45 Last_45,726.0000
First_70 Last_70,612.0000
First_23 Last_23,960.0000
First_25 Last_25,860.0000
First_34 Last_34,350.0000
First_39 Last_39,396.0000
First_15 Last_15,435.0000
First_16 Last_16,441.0000
First_26 Last_26,564.0000
First_56 Last_56,513.0000
First_69 Last_69,495.0000
First_76 Last_76,872.0000
