CUSTOMER_NAME,ORDER_VALUE,TOTAL_REVENUE,AVG_ORDER_VALUE
First_0 Last_0,128.0000,128.0000,128.0000000
First_1 Last_1,87.0000,87.0000,87.0000000
First_2 Last_2,194.0000,194.0000,194.0000000
First_3 Last_3,652.0000,652.0000,652.0000000
First_4 Last_4,400.0000,400.0000,400.0000000
First_5 Last_5,255.0000,255.0000,255.0000000
First_6 Last_6,501.0000,501.0000,501.0000000
First_7 Last_7,54.0000,54.0000,54.0000000
First_8 Last_8,228.0000,228.0000,228.0000000
First_9 Last_9,665.0000,665.0000,665.0000000
First_10 Last_10,258.0000,258.0000,258.0000000
First_11 Last_11,103.0000,103.0000,103.0000000
First_12 Last_12,260.0000,260.0000,260.0000000
First_13 Last_13,504.0000,504.0000,504.0000000
First_14 Last_14,268.0000,268.0000,268.0000000
First_15 Last_15,435.0000,435.0000,435.0000000
First_16 Last_16,441.0000,441.0000,441.0000000
First_17 Last_17,107.0000,107.0000,107.0000000
First_18 Last_18,37.0000,37.0000,37.0000000
First_19 Last_19,208.0000,208.0000,208.0000000
First_20 Last_20,204.0000,204.0000,204.0000000
First_21 Last_21,652.0000,652.0000,652.0000000
First_22 Last_22,135.0000,135.0000,135.0000000
First_23 Last_23,960.0000,960.0000,960.0000000
First_24 Last_24,650.0000,650.0000,650.0000000
First_25 Last_25,860.0000,860.0000,860.0000000
First_26 Last_26,564.0000,564.0000,564.0000000
First_27 Last_27,231.0000,231.0000,231.0000000
First_28 Last_28,896.0000,896.0000,896.0000000
First_29 Last_29,92.0000,92.0000,92.0000000
First_30 Last_30,86.0000,86.0000,86.0000000
First_31 Last_31,324.0000,324.0000,324.0000000
First_32 Last_32,440.0000,440.0000,440.0000000
First_33 Last_33,435.0000,435.0000,435.0000000
First_34 Last_34,350.0000,350.0000,350.0000000
First_35 Last_35,672.0000,672.0000,672.0000000
First_36 Last_36,466.0000,466.0000,466.0000000
First_37 Last_37,655.0000,655.0000,655.0000000
First_38 Last_38,276.0000,276.0000,276.0000000
First_39 Last_39,396.0000,396.0000,396.0000000
First_40 Last_40,172.0000,172.0000,172.0000000
First_41 Last_41,476.0000,476.0000,476.0000000
First_42 Last_42,316.0000,316.0000,316.0000000
First_43 Last_43,225.0000,225.0000,225.0000000
First_44 Last_44,240.0000,240.0000,240.0000000
First_45 Last_45,726.0000,726.0000,726.0000000
First_46 Last_46,154.0000,154.0000,154.0000000
First_47 Last_47,79.0000,79.0000,79.0000000
First_48 Last_48,264.0000,264.0000,264.0000000
First_49 Last_49,200.0000,200.0000,200.0000000
First_50 Last_50,356.0000,356.0000,356.0000000
First_51 Last_51,1090.0000,1090.0000,1090.0000000
First_52 Last_52,50.0000,50.0000,50.0000000
First_53 Last_53,550.0000,550.0000,550.0000000
First_54 Last_54,304.0000,304.0000,304.0000000
First_55 Last_55,72.0000,72.0000,72.0000000
First_56 Last_56,513.0000,513.0000,513.0000000
First_57 Last_57,156.0000,156.0000,156.0000000
First_58 Last_58,224.0000,224.0000,224.0000000
First_59 Last_59,135.0000,135.0000,135.0000000
First_60 Last_60,258.0000,258.0000,258.0000000
First_61 Last_61,326.0000,326.0000,326.0000000
First_62 Last_62,545.0000,545.0000,545.0000000
First_63 Last_63,244.0000,244.0000,244.0000000
First_64 Last_64,324.0000,324.0000,324.0000000
First_65 Last_65,206.0000,206.0000,206.0000000
First_66 Last_66,76.0000,76.0000,76.0000000
First_67 Last_67,260.0000,260.0000,260.0000000
First_68 Last_68,300.0000,300.0000,300.0000000
First_69 Last_69,495.0000,495.0000,495.0000000
First_70 Last_70,612.0000,612.0000,612.0000000
First_71 Last_71,196.0000,196.0000,196.0000000
First_72 Last_72,156.0000,156.0000,156.0000000
First_73 Last_73,876.0000,876.0000,876.0000000
First_74 Last_74,228.0000,228.0000,228.0000000
First_75 Last_75,392.0000,392.0000,392.0000000
First_76 Last_76,872.0000,872.0000,872.0000000
First_77 Last_77,460.0000,460.0000,460.0000000
First_78 Last_78,198.0000,198.0000,198.0000000
First_79 Last_79,195.0000,195.0000,195.0000000
First_80 Last_80,95.0000,95.0000,95.0000000
First_81 Last_81,66.0000,66.0000,66.0000000
First_82 Last_82,108.0000,108.0000,108.0000000
First_83 Last_83,240.0000,240.0000,240.0000000
First_84 Last_84,360.0000,360.0000,360.0000000
First_85 Last_85,243.0000,243.0000,243.0000000
First_86 Last_86,88.0000,88.0000,88.0000000
First_87 Last_87,1090.0000,1090.0000,1090.0000000
First_88 Last_88,132.0000,132.0000,132.0000000
First_89 Last_89,87.0000,87.0000,87.0000000
First_90 Last_90,400.0000,400.0000,400.0000000
First_91 Last_91,27.0000,27.0000,27.0000000
First_92 Last_92,920.0000,920.0000,920.0000000
First_93 Last_93,168.0000,168.0000,168.0000000
First_94 Last_94,61.0000,61.0000,61.0000000
First_95 Last_95,390.0000,390.0000,390.0000000
First_96 Last_96,315.0000,315.0000,315.0000000
First_97 Last_97,185.0000,185.0000,185.0000000
First_98 Last_98,399.0000,399.0000,399.0000000
First_99 Last_99,163.0000,163.0000,163.0000000
