CUSTOMER_NAME,FULL_DATE,REVENUE
First_71 Last_71,2024-03-12,196.0000
First_94 Last_94,2024-04-04,61.0000
First_74 Last_74,2024-03-15,228.0000
First_42 Last_42,2024-02-12,316.0000
First_68 Last_68,2024-03-09,300.0000
First_36 Last_36,2024-02-06,466.0000
First_57 Last_57,2024-02-27,156.0000
First_53 Last_53,2024-02-23,550.0000
First_82 Last_82,2024-03-23,108.0000
First_91 Last_91,2024-04-01,27.0000
First_16 Last_16,2024-01-17,441.0000
First_22 Last_22,2024-01-23,135.0000
First_83 Last_83,2024-03-24,240.0000
First_80 Last_80,2024-03-21,95.0000
First_15 Last_15,2024-01-16,435.0000
First_98 Last_98,2024-04-08,399.0000
First_26 Last_26,2024-01-27,564.0000
First_11 Last_11,2024-01-12,103.0000
First_13 Last_13,2024-01-14,504.0000
First_81 Last_81,2024-03-22,66.0000
First_2 Last_2,2024-01-03,194.0000
First_61 Last_61,2024-03-02,326.0000
First_88 Last_88,2024-03-29,132.0000
First_51 Last_51,2024-02-21,1090.0000
First_62 Last_62,2024-03-03,545.0000
First_99 Last_99,2024-04-09,163.0000
First_97 Last_97,2024-04-07,185.0000
First_54 Last_54,2024-02-24,304.0000
First_25 Last_25,2024-01-26,860.0000
First_66 Last_66,2024-03-07,76.0000
First_79 Last_79,2024-03-20,195.0000
First_49 Last_49,2024-02-19,200.0000
First_17 Last_17,2024-01-18,107.0000
First_93 Last_93,2024-04-03,168.0000
First_78 Last_78,2024-03-19,198.0000
First_24 Last_24,2024-01-25,650.0000
First_84 Last_84,2024-03-25,360.0000
First_18 Last_18,2024-01-19,37.0000
First_48 Last_48,2024-02-18,264.0000
First_14 Last_14,2024-01-15,268.0000
First_10 Last_10,2024-01-11,258.0000
First_33 Last_33,2024-02-03,435.0000
First_30 Last_30,2024-01-31,86.0000
First_37 Last_37,2024-02-07,655.0000
First_38 Last_38,2024-02-08,276.0000
First_63 Last_63,2024-03-04,244.0000
First_47 Last_47,2024-02-17,79.0000
First_77 Last_77,2024-03-18,460.0000
First_96 Last_96,2024-04-06,315.0000
First_72 Last_72,2024-03-13,156.0000
First_70 Last_70,2024-03-11,612.0000
First_4 Last_4,2024-01-05,400.0000
First_64 Last_64,2024-03-05,324.0000
First_86 Last_86,2024-03-27,88.0000
First_56 Last_56,2024-02-26,513.0000
First_50 Last_50,2024-02-20,356.0000
First_5 Last_5,2024-01-06,255.0000
First_67 Last_67,2024-03-08,260.0000
First_39 Last_39,2024-02-09,396.0000
First_23 Last_23,2024-01-24,960.0000
First_1 Last_1,2024-01-02,87.0000
First_20 Last_20,2024-01-21,204.0000
First_19 Last_19,2024-01-20,208.0000
First_44 Last_44,2024-02-14,240.0000
First_55 Last_55,2024-02-25,72.0000
First_3 Last_3,2024-01-04,652.0000
First_95 Last_95,2024-04-05,390.0000
First_31 Last_31,2024-02-01,324.0000
First_85 Last_85,2024-03-26,243.0000
First_69 Last_69,2024-03-10,495.0000
First_58 Last_58,2024-02-28,224.0000
First_65 Last_65,2024-03-06,206.0000
First_9 Last_9,2024-01-10,665.0000
First_87 Last_87,2024-03-28,1090.0000
First_6 Last_6,2024-01-07,501.0000
First_0 Last_0,2024-01-01,128.0000
First_34 Last_34,2024-02-04,350.0000
First_7 Last_7,2024-01-08,54.0000
First_29 Last_29,2024-01-30,92.0000
First_21 Last_21,2024-01-22,652.0000
First_92 Last_92,2024-04-02,920.0000
First_40 Last_40,2024-02-10,172.0000
First_90 Last_90,2024-03-31,400.0000
First_46 Last_46,2024-02-16,154.0000
First_35 Last_35,2024-02-05,672.0000
First_52 Last_52,2024-02-22,50.0000
First_32 Last_32,2024-02-02,440.0000
First_8 Last_8,2024-01-09,228.0000
First_41 Last_41,2024-02-11,476.0000
First_89 Last_89,2024-03-30,87.0000
First_12 Last_12,2024-01-13,260.0000
First_75 Last_75,2024-03-16,392.0000
First_28 Last_28,2024-01-29,896.0000
First_27 Last_27,2024-01-28,231.0000
First_76 Last_76,2024-03-17,872.0000
First_45 Last_45,2024-02-15,726.0000
First_60 Last_60,2024-03-01,258.0000
First_59 Last_59,2024-02-29,135.0000
First_43 Last_43,2024-02-13,225.0000
First_73 Last_73,2024-03-14,876.0000
